,diff_min,temporada_alta,periodo_dia,atraso_15
0,3.0,1,noche,0
1,9.0,1,noche,0
2,9.0,1,noche,0
3,3.0,1,noche,0
4,-2.0000000000000004,1,noche,0
5,34.00000000000001,1,noche,1
6,-5.0,1,noche,0
7,-5.0,1,noche,0
8,40.0,1,noche,1
9,69.0,1,noche,1
10,-9.0,1,noche,0
11,14.0,1,noche,0
12,-7.0,1,noche,0
13,-4.000000000000001,1,noche,0
14,-11.0,1,noche,0
15,-9.0,1,noche,0
16,-9.0,1,noche,0
17,-12.0,1,noche,0
18,15.0,1,noche,0
19,-2.0000000000000004,1,noche,0
20,2.0000000000000004,1,noche,0
21,8.000000000000002,1,noche,0
22,-5.0,1,noche,0
23,52.0,1,noche,1
24,-5.0,1,noche,0
25,0.0,1,noche,0
26,26.0,1,noche,1
27,-3.0,1,noche,0
28,-5.0,1,noche,0
29,2.0000000000000004,1,noche,0
30,2.0000000000000004,1,noche,0
31,-7.0,1,noche,0
32,-1.0000000000000002,1,noche,0
33,5.0,1,noche,0
34,-4.000000000000001,1,noche,0
35,1.0000000000000002,1,noche,0
36,-5.0,1,noche,0
37,3.0,1,noche,0
38,-2.0000000000000004,1,noche,0
39,-4.000000000000001,1,noche,0
40,-6.0,1,noche,0
41,4.000000000000001,1,noche,0
42,-4.000000000000001,1,noche,0
43,-4.000000000000001,1,noche,0
44,-9.0,1,noche,0
45,-10.0,1,noche,0
46,0.0,1,noche,0
47,-2.0000000000000004,1,noche,0
48,1.0000000000000002,1,noche,0
49,-4.000000000000001,1,noche,0
50,10.0,1,noche,0
51,20.0,1,noche,1
52,11.0,1,noche,0
53,24.0,1,noche,1
54,-5.0,1,noche,0
55,-7.0,1,noche,0
56,14.0,1,noche,0
57,5.0,1,noche,0
58,0.0,1,noche,0
59,25.0,1,noche,1
60,1.0000000000000002,1,noche,0
61,0.0,1,noche,0
62,-4.000000000000001,1,noche,0
63,13.0,1,noche,0
64,-3.0,1,noche,0
65,2.0000000000000004,1,noche,0
66,-5.0,1,noche,0
67,0.0,1,noche,0
68,-2.0000000000000004,1,noche,0
69,3.0,1,noche,0
70,-9.0,1,noche,0
71,5.0,1,noche,0
72,-3.0,1,noche,0
73,-4.000000000000001,1,noche,0
74,-10.0,1,noche,0
75,-9.0,1,noche,0
76,62.00000000000001,1,noche,1
77,2.0000000000000004,1,noche,0
78,-8.000000000000002,1,noche,0
79,19.0,1,tarde,1
80,60.0,1,tarde,1
81,17.000000000000004,1,tarde,1
82,26.0,1,tarde,1
83,14.0,1,tarde,0
84,67.00000000000001,1,tarde,1
85,84.0,1,tarde,1
86,63.00000000000001,1,tarde,1
87,97.0,1,tarde,1
88,17.000000000000004,1,tarde,1
89,90.0,1,tarde,1
90,130.00000000000003,1,tarde,1
91,24.0,1,tarde,1
92,77.0,1,tarde,1
93,32.00000000000001,1,tarde,1
94,39.0,1,tarde,1
95,48.0,1,tarde,1
96,6.0,1,tarde,0
97,2.0000000000000004,1,tarde,0
98,28.0,1,tarde,1
99,11.0,1,tarde,0
100,33.00000000000001,1,tarde,1
101,69.0,1,tarde,1
102,20.0,1,tarde,1
103,3.0,1,tarde,0
104,22.0,1,tarde,1
105,21.0,1,tarde,1
106,22.0,1,tarde,1
107,27.0,1,tarde,1
108,6.0,1,tarde,0
109,20.0,1,noche,1
110,17.000000000000004,1,noche,1
111,19.0,1,noche,1
112,47.0,1,noche,1
113,5.0,1,noche,0
114,63.00000000000001,1,noche,1
